LOCATION,ACCOMODATION TYPE,FLOOR,ROOM SIZE,BUILDING AGE,DISTANCE FROM SCHOOL,DISTANCE FROM MARKET,TRANSPORT ACCESSIBILITY,WATER SOURCE,LOCATION OF WATER SOURCE,ELECTRICITY RELIABILITY,TOILET TYPE,TOILET LOCATION,GATE?,SECURITY GUARD?,FENCE?,SECURITY?,ENVIRONMENTAL CLEANING,VIBEZ OF ENVIRONMENT,YEARLY RENT,RULES AND REGULATION
Odenigwe,Single room,First Floor,Small,<5 years,<5 min,>30 min,Moderately accessibile,Public tap outside compound,5-15 min,Moderately reliable,Water Closet,En-suite,No,No,No,Average,No cleaning,Quiet,170000,Not Strict
Behind Flat,Self-con,Second Floor,Medium,<5 years,15-30 min,15-30 min,Moderately accessibile,Borehole outside compound,Within compound,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Secure,Caretaker/Cleaner,Neutral,250000,Moderately Strict
Hilltop,Self-con,First Floor,Large,>20 years,>30 min,15-30 min,Very accessible,Private tap/tank in compound,Within compound,Moderately reliable,Semi-Water Closet,En-suite,Yes,No,Yes,Secure,Caretaker/Cleaner,Vibrant,150000,Not Strict
Odenigwe,Self-con,Ground floor,Medium,10-20 years,15-30 min,>30 min,Not accessible,Public tap outside compound,5-15 min,Very reliable,Water Closet,Shared,Yes,No,Yes,Average,Tenants,Very Quiet,20000,Very Strict
Odim,Self-con,Ground floor,Small,10-20 years,5-15 min,>30 min,Very accessible,Public tap outside compound,5-15 min,Moderately reliable,Water Closet,Shared,Yes,No,Yes,Very Secure,Tenants,Very Quiet,100000,Very Strict
Hilltop,Self-con,Second Floor,Medium,<5 years,5-15 min,15-30 min,Very accessible,Borehole outside compound,Within compound,Very reliable,Water Closet,En-suite,Yes,Yes,Yes,Average,Caretaker/Cleaner,Very Vibrant,250000,Moderately Strict
Odim,Flat,Second Floor,Very Large,<5 years,15-30 min,<5 min,Very accessible,In the unit,Within compound,Moderately reliable,Water Closet,En-suite,Yes,Yes,Yes,Very Secure,Caretaker/Cleaner,Neutral,1000000,Moderately Strict
Hilltop,Self-con,Third Floor,Medium,<5 years,15-30 min,5-15 min,Very accessible,In the unit,Within compound,Moderately reliable,Water Closet,En-suite,Yes,Yes,Yes,Secure,Caretaker/Cleaner,Neutral,240000,Moderately Strict
Onuiyi,Flat,Ground floor,Small,<5 years,>30 min,>30 min,Very accessible,Government water,>30 min,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Secure,Caretaker/Cleaner,Very Quiet,400000,Not Strict
Odim,Single room,Ground floor,Medium,10-20 years,5-15 min,5-15 min,Moderately accessibile,Private tap/tank in compound,Within compound,Unreliable,Water Closet,Shared,No,No,No,Average,Caretaker/Cleaner,Very Quiet,250000,Moderately Strict
Odim,Self-con,Second Floor,Medium,<5 years,<5 min,<5 min,Not very accessible,In the unit,Within compound,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Very Secure,Caretaker/Cleaner,Quiet,280000,No rules
Vet Mountain,Self-con,Ground floor,Medium,10-20 years,>30 min,>30 min,Not very accessible,Public tap outside compound,5-15 min,Unreliable,Water Closet,En-suite,Yes,No,Yes,Average,No cleaning,Quiet,150000,No rules
Odim,Self-con,First Floor,Medium,<5 years,15-30 min,<5 min,Not very accessible,In the unit,Within compound,Unreliable,Water Closet,En-suite,Yes,No,Yes,Secure,Caretaker/Cleaner,Neutral,200000,Not Strict
Behind Flat,Self-con,First Floor,Medium,10-20 years,5-15 min,5-15 min,Very accessible,Private tap/tank in compound,Within compound,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Secure,Tenants,Quiet,130000,Moderately Strict
Odenigwe,Self-con,Second Floor,Medium,<5 years,>30 min,5-15 min,Very accessible,In the unit,Within compound,Very reliable,Water Closet,En-suite,Yes,Yes,Yes,Secure,Caretaker/Cleaner,Neutral,300000,Moderately Strict
Odim,Self-con,Second Floor,Large,<5 years,<5 min,>30 min,Moderately accessibile,Borehole outside compound,Within compound,Moderately reliable,Water Closet,En-suite,Yes,Yes,Yes,Secure,Caretaker/Cleaner,Quiet,350000,Strict
